naam,geboortedata,Postcode,gift_given,gedrag
Jason Martinez,2020-03-26,72081 33,False,goed
Mitchell White,2004-08-05,03567 63,False,goed
Barbara Davis,2005-09-25,94600 98,False,slecht
Tammy Fisher,2008-06-20,60112 2,False,goed
Jose King,2018-06-06,47051 19,False,goed
Tammy Fowler,2018-11-15,39561 64,False,goed
Sara Horton,2013-05-06,78507 54,True,goed
Stephanie Hill,2013-12-06,94501 68,True,goed
Charles Murray,2015-01-07,33449 70,False,slecht
Jamie Mercado,2005-04-04,54456 83,True,goed
Stephanie Ford,2010-04-27,30466 78,True,goed
Victoria Miller,2017-08-21,20772 15,True,slecht
Tracy Goodman,2010-09-22,16784 48,True,slecht
Natalie Walter,2017-10-27,49343 51,True,goed
Jason Phelps,2005-01-08,48446 21,False,goed
Laura Lee,2016-10-10,31656 11,True,slecht
Daniel Mcdonald,2006-05-15,88001 22,True,slecht
James Smith,2011-04-12,64072 21,True,goed
Jacob Davis,2021-05-25,96639 74,False,slecht
Steven Flores,2004-11-24,14732 60,True,goed
Allison Curtis,2015-06-10,86642 34,False,slecht
Timothy Lowe,2013-03-29,14267 53,False,goed
Melissa Davis DVM,2020-01-12,90896 63,False,slecht
Thomas Shaw,2011-12-19,42735 58,True,goed
Catherine Gonzalez,2007-05-31,25303 51,True,goed
Christopher Butler,2015-06-06,63886 58,False,goed
Taylor Diaz,2020-01-13,81476 76,False,goed
George Wilson,2013-06-02,69760 89,True,slecht
Crystal Mckay,2013-09-21,41148 40,True,goed
Randy Morales,2012-02-17,81533 87,True,slecht
Bruce Meadows,2014-02-03,42654 90,True,goed
Christopher Miller,2011-03-13,92275 36,False,goed
Emily Mccoy,2021-04-27,10051 20,False,slecht
Kathleen Park,2004-06-27,82415 23,False,slecht
Karen Bennett,2017-03-22,29417 97,True,slecht
Mark Johnson,2008-09-23,92691 5,False,slecht
Joseph Carey,2012-01-31,22303 56,False,slecht
Jill Davis,2013-08-23,45551 46,False,goed
Kelly Miller,2005-09-13,21624 78,True,slecht
Cesar Miller,2016-02-11,41671 54,True,slecht
Clifford Rodriguez,2012-05-11,33395 37,False,slecht
Virginia Shah,2014-04-19,70071 93,True,goed
Michael Wade,2015-03-17,29088 89,True,goed
Dennis Massey,2010-12-20,91058 86,True,goed
Ashley Cohen,2016-05-31,56523 38,True,slecht
Anthony Avila,2016-11-17,66849 31,False,slecht
Sara Roy,2013-09-15,40814 78,False,goed
Molly Davis,2011-01-19,67157 59,True,slecht
Vincent Owens,2004-08-12,19493 52,True,goed
Jonathan Craig MD,2017-02-05,51863 2,True,goed
Michael Velazquez,2007-03-20,14270 65,False,goed
Chelsea Jacobs,2011-10-31,49575 9,False,slecht
William Thornton,2007-08-09,07205 3,True,goed
Steven Mcdonald,2015-04-26,07238 35,False,slecht
Michael Carr,2012-12-04,79088 81,False,goed
Katelyn Mejia,2020-01-20,76991 59,True,slecht
Melanie Simon,2004-08-17,25213 85,True,goed
Matthew Bennett,2012-06-26,87964 65,True,goed
Casey Watson,2014-04-23,15613 58,True,goed
Robert Hampton,2013-11-08,80143 50,False,goed
Megan Lopez,2017-05-12,59640 3,False,goed
Stacey Martinez,2021-11-03,84324 53,False,goed
Angela Glover,2009-04-24,71058 18,True,slecht
Brandon Roman,2016-05-08,26786 74,False,goed
Steve Haynes,2010-12-21,62558 45,False,slecht
Terri Jordan,2019-02-21,49025 29,True,slecht
Katherine Thomas,2004-09-25,39294 54,False,goed
Rebecca Blake,2004-12-02,20034 30,True,slecht
John Webster,2009-12-18,45964 56,True,goed
Marcus Jones,2008-03-12,77345 45,False,goed
Kenneth Davis,2012-03-26,71562 45,False,slecht
Beverly Andrews,2020-02-11,96618 48,True,slecht
Carol Evans,2010-04-15,86064 59,False,slecht
Jill Curtis,2017-10-23,09598 78,True,slecht
Sonya Espinoza,2009-05-22,07729 69,False,goed
Todd Savage,2010-11-30,27968 86,False,goed
Phillip Kim,2015-10-06,56315 49,True,slecht
Jason Bishop,2014-06-22,09110 2,False,slecht
Jason Crane,2019-01-08,59671 100,True,goed
Joshua Green,2006-06-24,64003 45,True,slecht
Nicholas Jones,2018-02-22,19097 96,True,goed
Robert Willis,2013-09-06,12830 10,False,slecht
John Harris,2011-12-23,83974 73,True,slecht
Daniel Thomas,2017-02-13,48745 33,False,goed
Mr. Andrew Davis,2005-01-20,63512 68,False,goed
John Stone,2004-06-14,91385 4,False,slecht
David Liu,2011-11-17,31809 8,True,goed
Robert West,2005-06-14,34547 39,False,slecht
Austin Kelly,2008-03-05,69530 21,True,slecht
Jacob Contreras,2009-07-20,78421 15,True,goed
Anthony Butler,2020-10-20,92935 35,True,slecht
Vanessa Lee,2015-05-23,74646 42,False,goed
Robert Smith,2006-12-27,80649 97,False,slecht
Benjamin Flores,2006-02-02,91620 52,False,slecht
Craig Wallace,2020-08-06,03276 79,True,goed
Joshua Miller,2014-12-19,98605 77,False,slecht
Peter Massey,2005-08-20,88834 64,False,slecht
Joel Delgado,2013-09-01,30350 50,False,goed
Kimberly Benson,2018-04-15,09630 62,False,slecht
Juan Bailey,2006-01-28,00809 13,True,slecht
Linda Dickson,2006-08-19,24407 95,True,goed
