naam,geboortedata,Postcode,gift_given,gedrag
Kevin Hansen,2011-02-04,23357 17,True,goed
Joshua Liu,2021-11-22,72237 29,False,slecht
Mrs. Angela Nichols,2014-08-22,09548 34,False,slecht
Tracy Jackson,2015-02-25,39563 51,False,goed
Craig Moody Jr.,2010-12-12,06736 4,True,slecht
Jonathan Morse,2007-03-06,03863 37,False,slecht
Lauren Reyes,2011-08-10,28782 100,False,slecht
Raymond George,2007-06-04,01057 45,False,slecht
Michelle Grant,2009-05-19,91321 19,True,slecht
Stephanie Jones,2010-12-11,04477 34,True,goed
Paul Nelson,2017-02-15,04156 10,False,slecht
Courtney Burke,2006-06-23,22189 82,True,goed
Eric Mitchell,2015-07-26,98920 90,True,goed
Jill Chaney,2007-08-09,92475 10,False,goed
Danielle Goodwin,2013-07-30,80975 86,False,goed
Jeffrey Benjamin,2014-11-07,06010 21,False,slecht
Denise Russo,2021-03-11,65968 42,False,goed
Eric Turner,2017-07-06,23246 60,True,goed
David Miller,2008-02-17,44820 41,True,slecht
Rhonda Hoffman,2008-06-18,78930 2,False,goed
Terry Sherman,2019-05-22,71466 58,True,slecht
Maria Davenport,2018-05-27,20478 21,True,slecht
Catherine Cole,2012-07-28,71622 16,True,goed
Mary Middleton,2014-07-10,41430 77,True,goed
Rachel Hess,2018-12-22,45744 3,False,slecht
Alicia Santos,2011-07-11,02421 28,True,slecht
David Johnson,2021-12-01,30220 91,True,slecht
William West,2009-01-29,98203 15,False,goed
Robert Nelson,2019-02-22,52585 57,False,goed
Shannon Abbott,2004-06-28,79027 12,False,slecht
David Hopkins,2009-06-18,69149 82,False,slecht
Jonathon White,2016-03-07,44434 39,False,goed
Steven Armstrong,2015-01-19,35701 6,True,slecht
Cheryl Johnson,2022-05-03,62506 89,False,goed
Shane Murphy,2013-03-07,01280 88,False,goed
Marc Sherman,2019-08-06,86316 95,True,slecht
Rebecca Ewing,2008-07-10,19367 76,True,slecht
Alexander Williams,2018-06-29,49625 77,False,slecht
Alexander Brown,2019-03-15,92987 64,False,goed
Dan Morales,2012-05-13,06795 77,True,slecht
Sophia Taylor,2007-11-16,61567 15,True,slecht
Mr. Jason Barnes,2005-05-20,67601 23,False,goed
Michael Snyder,2011-10-13,91991 72,False,slecht
Marissa Vance,2017-04-22,62470 82,True,goed
Michael Price,2016-03-08,76650 59,True,goed
Amber Mills,2014-06-17,81896 18,True,goed
Laura Romero,2004-06-26,16099 8,False,slecht
Mary English,2013-10-11,74996 14,False,goed
Victor Reed,2020-08-22,89882 41,False,goed
Sherry Peterson,2016-09-03,40247 68,True,slecht
Laura Kirby,2008-06-14,00571 40,False,slecht
Danielle Owens,2005-09-25,67080 66,True,slecht
Jay Harding,2013-08-30,88327 86,False,goed
Joseph Hatfield,2008-02-02,13073 45,True,goed
Lauren Reese,2021-10-21,10140 8,True,goed
Jared Rivera,2021-11-03,88192 76,True,goed
Annette Stewart,2005-08-26,32752 93,False,slecht
Curtis Blanchard,2018-04-21,43355 43,True,goed
Charles Hughes,2014-08-12,93785 80,False,slecht
Linda Mcneil,2016-11-26,84601 62,True,goed
Shelby West,2019-03-20,34283 21,False,goed
Tara Hughes,2011-09-03,40627 81,False,goed
James Roman,2004-10-09,60696 15,True,slecht
Corey Barnes,2014-11-01,64628 71,True,goed
Christopher Sharp,2005-08-09,23097 52,False,slecht
Micheal Cross,2013-10-11,55655 35,True,goed
Rebecca Molina,2019-08-31,52950 95,False,slecht
Michael Armstrong,2004-07-04,14708 28,False,slecht
Michael Leonard,2011-07-15,88606 16,True,slecht
Michelle Moreno,2020-11-06,97900 10,False,slecht
Thomas Cook,2009-05-16,70589 62,True,goed
Brandon Howard,2015-04-29,35714 33,True,slecht
Christopher Townsend,2005-01-15,55863 93,False,goed
Monica Swanson,2007-05-24,34463 86,False,slecht
Daniel Harris,2009-03-15,61221 72,True,goed
Kim Ramirez,2014-08-22,99074 80,True,goed
David Hartman,2022-04-08,29730 17,True,goed
Andrew Roberts,2017-03-17,81306 39,True,goed
Mrs. Emma Townsend,2016-09-15,29891 91,True,goed
Jerry Gilbert,2006-09-11,00959 41,True,goed
Keith Pace,2011-06-26,33302 41,False,slecht
Paul Novak,2006-12-29,03117 7,True,slecht
Stephanie Moss,2011-05-12,35285 11,True,goed
Sandra Klein,2011-11-30,32350 82,False,slecht
Kathleen Mercer,2016-06-17,89978 78,True,slecht
Caitlin Cobb,2004-12-14,77739 60,True,goed
Lisa Smith,2015-06-06,85757 46,True,slecht
Lisa Brooks,2008-11-25,20387 49,True,slecht
Jeffrey Johnson,2011-04-04,35420 13,True,goed
John Pacheco,2005-03-03,59992 58,False,slecht
Aaron Cisneros,2006-04-23,91786 72,True,slecht
Sheila Henderson,2006-04-28,45358 1,True,slecht
Alexander Barnett,2020-09-21,96856 53,True,slecht
Jessica Cisneros,2011-08-29,45310 88,False,slecht
