naam,geboortedata,Postcode,gift_given,gedrag
Kim Mccormick,2007-11-28,92539 62,False,goed
Adrian Johnson,2017-03-04,83071 59,False,slecht
Gerald Rodgers,2020-02-22,32071 17,True,slecht
Brenda Mora,2009-10-15,92739 33,True,goed
Eric Sanchez,2004-08-20,05131 66,False,goed
Craig Morris,2018-04-01,76735 70,False,slecht
Jennifer Mason,2012-09-24,80811 54,False,goed
Dwayne Vega,2013-09-13,43333 40,True,slecht
Carly Hensley,2008-09-10,06283 12,True,slecht
Melissa Jordan,2012-10-14,76128 39,False,goed
Timothy Stone,2017-02-19,01249 2,False,goed
Frank Figueroa,2006-05-14,76958 42,True,slecht
Susan Long,2014-05-23,27497 52,True,slecht
Juan Gutierrez,2006-03-07,48028 74,False,slecht
Joseph Villa,2021-08-09,54110 90,True,goed
Bradley Hardy,2007-05-01,82249 64,True,slecht
Sharon Moore,2005-03-15,56840 46,True,goed
Tammy Hill,2019-01-05,88459 16,True,slecht
Benjamin Jackson,2018-03-25,26565 37,False,slecht
Linda Lewis,2013-01-18,31527 29,True,slecht
Beth Roberts,2010-11-21,98544 91,False,slecht
Gary Peters,2012-08-21,29549 5,False,goed
Dustin Ortiz,2012-10-02,03966 7,True,goed
Melissa Gonzalez,2021-11-24,13504 17,False,slecht
Adam Willis,2005-04-30,05445 93,True,slecht
Fred Crawford,2012-03-08,73260 49,True,goed
Hannah Wagner,2018-04-18,93396 74,True,slecht
Stephanie Henry,2004-08-29,95190 33,False,slecht
Michelle Sullivan,2020-12-23,78803 41,True,goed
Jeffrey Wilcox,2010-01-12,80681 84,False,slecht
Michael Burton,2008-03-25,76854 29,False,goed
Sharon Taylor,2008-06-11,09276 62,False,slecht
Janet Doyle,2013-12-07,04139 44,True,slecht
Tara Taylor MD,2022-02-01,51723 30,False,goed
Diane Cummings,2021-08-13,91414 80,True,slecht
Timothy Sanchez,2020-05-27,25199 88,False,slecht
Brandon Lawrence,2017-11-15,01603 98,False,goed
Aaron Yoder,2010-01-24,12316 86,True,slecht
Matthew Oliver,2016-12-10,22691 87,False,goed
Rebecca Washington,2014-01-11,04010 7,False,slecht
Richard Lawson,2006-05-19,47425 28,True,goed
Arthur Pitts,2014-05-23,01305 67,True,slecht
Carol Pearson,2009-06-30,36178 47,True,goed
Gwendolyn Waters,2010-10-11,89768 97,False,goed
Nicholas Mendoza,2016-12-14,52571 25,True,slecht
Herbert Lopez,2021-03-18,46241 11,True,slecht
Troy King,2007-07-18,34467 69,True,slecht
Kari Tate,2008-07-21,45203 39,False,goed
Ashley Owens,2021-06-07,58487 24,False,goed
Matthew Morris,2008-11-08,19124 41,True,slecht
Elizabeth Hebert,2015-01-01,25622 15,True,slecht
Jessica Lucas,2015-04-07,21873 43,False,goed
Michelle Gaines,2011-12-16,51906 23,False,goed
Tiffany Robinson,2019-11-19,31219 74,False,slecht
Jamie Carter,2020-11-26,28538 4,True,goed
Jane Powell,2020-02-14,56131 80,False,goed
James Waller,2004-07-11,89622 89,False,goed
Jacqueline Henderson,2011-05-13,66853 92,False,slecht
Edward Clark,2005-01-12,41461 82,True,slecht
Marissa Park,2022-03-24,35930 39,False,slecht
Sylvia Castro,2014-09-22,19140 51,False,slecht
Carrie Solis,2019-03-25,62457 3,False,goed
Mrs. Maria Johnson,2009-12-22,84666 49,True,goed
Stephanie Rush,2012-11-01,44192 84,True,slecht
Kenneth Torres,2016-08-11,22109 88,False,slecht
Jamie Austin,2011-09-20,51001 56,True,slecht
Matthew Turner,2017-04-08,85184 83,False,goed
Andrew Cunningham,2005-03-23,41713 44,True,slecht
Melissa Chase,2012-11-30,68162 69,False,slecht
Melinda Lopez,2013-02-24,68389 72,False,slecht
Patricia Young,2020-08-30,72564 99,True,goed
Diamond Gomez,2017-03-21,26933 34,True,slecht
Donna Allen,2017-01-19,32294 24,False,goed
Linda Wells,2020-11-03,08493 80,True,goed
Veronica Moore,2009-11-02,15351 26,True,goed
Robert Duarte,2022-03-16,20772 21,True,goed
Seth Frazier,2010-04-24,72891 84,True,slecht
Corey Foster,2007-06-11,31298 51,False,slecht
Christopher Harris,2006-02-26,39082 1,False,goed
Todd Jimenez,2021-07-30,52515 44,True,goed
Lisa Marshall,2020-07-27,37318 57,False,slecht
Heather Massey,2015-11-12,25488 43,True,goed
Dennis Martinez,2011-01-07,24072 61,True,slecht
John Mccoy,2020-10-06,45665 15,False,slecht
Kimberly Soto,2017-05-10,98857 22,True,goed
Jonathan Carrillo,2011-12-02,63154 47,False,goed
